随机音乐,#genre#
装歌免费分享,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0
接口软件永远免费,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0&2
长期维护切勿贩卖,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0&3
卡左右可换源,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php?id=0&4
网络收集随时失效,https://xn--vusr00g.v.nxog.top/m/tv/xjj.php
DJ舞曲[刷新就是新内容],http://xjj1.716888.xyz/fenlei/djxjj/dj1.php
网络热曲[刷新就是新内容],https://188sp.711888.xyz/188/video.php
4K视频[刷新就是新内容],http://xjj1.716888.xyz/fenlei/4k/4k.php



央视频道,#genre#

CCTV1综合,https://by1.430520.xyz/vip/nxog.php?c=CCTV1综合&key=2d1
CCTV2财经,https://by1.430520.xyz/vip/nxog.php?c=CCTV2财经&key=2d1
CCTV3综艺,https://by1.430520.xyz/vip/nxog.php?c=CCTV3综艺&key=2d1
CCTV4中文国际,https://by1.430520.xyz/vip/nxog.php?c=CCTV4中文国际&key=2d1
CCTV5体育,https://by1.430520.xyz/vip/nxog.php?c=CCTV5体育&key=2d1
CCTV5+,https://by1.430520.xyz/vip/nxog.php?c=CCTV5+&key=2d1
CCTV6电影,https://by1.430520.xyz/vip/nxog.php?c=CCTV6电影&key=2d1
CCTV7国防军事,https://by1.430520.xyz/vip/nxog.php?c=CCTV7国防军事&key=2d1
CCTV8电视剧,https://by1.430520.xyz/vip/nxog.php?c=CCTV8电视剧&key=2d1
CCTV9纪录,https://by1.430520.xyz/vip/nxog.php?c=CCTV9纪录&key=2d1
CCTV10科教,https://by1.430520.xyz/vip/nxog.php?c=CCTV10科教&key=2d1
CCTV11戏曲,https://by1.430520.xyz/vip/nxog.php?c=CCTV11戏曲&key=2d1
CCTV12社会与法,https://by1.430520.xyz/vip/nxog.php?c=CCTV12社会与法&key=2d1
CCTV13新闻,https://by1.430520.xyz/vip/nxog.php?c=CCTV13新闻&key=2d1
CCTV14少儿,https://by1.430520.xyz/vip/nxog.php?c=CCTV14少儿&key=2d1
CCTV15音乐,https://by1.430520.xyz/vip/nxog.php?c=CCTV15音乐&key=2d1
CCTV17农业农村,https://by1.430520.xyz/vip/nxog.php?c=CCTV17农业农村&key=2d1
CCTV4欧洲,https://by1.430520.xyz/vip/nxog.php?c=CCTV4欧洲&key=2d1
CCTV4美洲,https://by1.430520.xyz/vip/nxog.php?c=CCTV4美洲&key=2d1




CCTV1综合,https://by.nxog.fun/vip/nxog.php?c=CCTV1综合&key=2d1
CCTV2财经,https://by.nxog.fun/vip/nxog.php?c=CCTV2财经&key=2d1
CCTV3综艺,https://by.nxog.fun/vip/nxog.php?c=CCTV3综艺&key=2d1
CCTV4中文国际,https://by.nxog.fun/vip/nxog.php?c=CCTV4中文国际&key=2d1
CCTV5体育,https://by.nxog.fun/vip/nxog.php?c=CCTV5体育&key=2d1
CCTV5+,https://by.nxog.fun/vip/nxog.php?c=CCTV5+&key=2d1
CCTV6电影,https://by.nxog.fun/vip/nxog.php?c=CCTV6电影&key=2d1
CCTV7国防军事,https://by.nxog.fun/vip/nxog.php?c=CCTV7国防军事&key=2d1
CCTV8电视剧,https://by.nxog.fun/vip/nxog.php?c=CCTV8电视剧&key=2d1
CCTV9纪录,https://by.nxog.fun/vip/nxog.php?c=CCTV9纪录&key=2d1
CCTV10科教,https://by.nxog.fun/vip/nxog.php?c=CCTV10科教&key=2d1
CCTV11戏曲,https://by.nxog.fun/vip/nxog.php?c=CCTV11戏曲&key=2d1
CCTV12社会与法,https://by.nxog.fun/vip/nxog.php?c=CCTV12社会与法&key=2d1
CCTV13新闻,https://by.nxog.fun/vip/nxog.php?c=CCTV13新闻&key=2d1
CCTV14少儿,https://by.nxog.fun/vip/nxog.php?c=CCTV14少儿&key=2d1
CCTV15音乐,https://by.nxog.fun/vip/nxog.php?c=CCTV15音乐&key=2d1
CCTV17农业农村,https://by.nxog.fun/vip/nxog.php?c=CCTV17农业农村&key=2d1
CCTV4欧洲,https://by.nxog.fun/vip/nxog.php?c=CCTV4欧洲&key=2d1
CCTV4美洲,https://by.nxog.fun/vip/nxog.php?c=CCTV4美洲&key=2d1



卫视频道,#genre#
北京卫视,https://by1.430520.xyz/vip/nxog.php?c=北京卫视&key=2d1
天津卫视,https://by1.430520.xyz/vip/nxog.php?c=天津卫视&key=2d1
河北卫视,https://by1.430520.xyz/vip/nxog.php?c=河北卫视&key=2d1
山西卫视,https://by1.430520.xyz/vip/nxog.php?c=山西卫视&key=2d1
辽宁卫视,https://by1.430520.xyz/vip/nxog.php?c=辽宁卫视&key=2d1
内蒙古卫视,https://by1.430520.xyz/vip/nxog.php?c=内蒙古卫视&key=2d1
吉林卫视,https://by1.430520.xyz/vip/nxog.php?c=吉林卫视&key=2d1
黑龙江卫视,https://by1.430520.xyz/vip/nxog.php?c=黑龙江卫视&key=2d1
东方卫视,https://by1.430520.xyz/vip/nxog.php?c=东方卫视&key=2d1
江苏卫视,https://by1.430520.xyz/vip/nxog.php?c=江苏卫视&key=2d1
浙江卫视,https://by1.430520.xyz/vip/nxog.php?c=浙江卫视&key=2d1
安徽卫视,https://by1.430520.xyz/vip/nxog.php?c=安徽卫视&key=2d1
东南卫视,https://by1.430520.xyz/vip/nxog.php?c=东南卫视&key=2d1
江西卫视,https://by1.430520.xyz/vip/nxog.php?c=江西卫视&key=2d1
山东卫视,https://by1.430520.xyz/vip/nxog.php?c=山东卫视&key=2d1
河南卫视,https://by1.430520.xyz/vip/nxog.php?c=河南卫视&key=2d1
湖南卫视,https://by1.430520.xyz/vip/nxog.php?c=湖南卫视&key=2d1
湖北卫视,https://by1.430520.xyz/vip/nxog.php?c=湖北卫视&key=2d1
广东卫视,https://by1.430520.xyz/vip/nxog.php?c=广东卫视&key=2d1
广西卫视,https://by1.430520.xyz/vip/nxog.php?c=广西卫视&key=2d1
海南卫视,https://by1.430520.xyz/vip/nxog.php?c=海南卫视&key=2d1
四川卫视,https://by1.430520.xyz/vip/nxog.php?c=四川卫视&key=2d1
贵州卫视,https://by1.430520.xyz/vip/nxog.php?c=贵州卫视&key=2d1
云南卫视,https://by1.430520.xyz/vip/nxog.php?c=云南卫视&key=2d1
西藏卫视,https://by1.430520.xyz/vip/nxog.php?c=西藏卫视&key=2d1
陕西卫视,https://by1.430520.xyz/vip/nxog.php?c=陕西卫视&key=2d1
甘肃卫视,https://by1.430520.xyz/vip/nxog.php?c=甘肃卫视&key=2d1
青海卫视,https://by1.430520.xyz/vip/nxog.php?c=青海卫视&key=2d1
宁夏卫视,https://by1.430520.xyz/vip/nxog.php?c=宁夏卫视&key=2d1
新疆卫视,https://by1.430520.xyz/vip/nxog.php?c=新疆卫视&key=2d1
兵团卫视,https://by1.430520.xyz/vip/nxog.php?c=兵团卫视&key=2d1
海峡卫视,https://by1.430520.xyz/vip/nxog.php?c=海峡卫视&key=2d1

北京卫视,https://by.nxog.fun/vip/nxog.php?c=北京卫视&key=2d1
天津卫视,https://by.nxog.fun/vip/nxog.php?c=天津卫视&key=2d1
河北卫视,https://by.nxog.fun/vip/nxog.php?c=河北卫视&key=2d1
山西卫视,https://by.nxog.fun/vip/nxog.php?c=山西卫视&key=2d1
辽宁卫视,https://by.nxog.fun/vip/nxog.php?c=辽宁卫视&key=2d1
内蒙古卫视,https://by.nxog.fun/vip/nxog.php?c=内蒙古卫视&key=2d1
吉林卫视,https://by.nxog.fun/vip/nxog.php?c=吉林卫视&key=2d1
黑龙江卫视,https://by.nxog.fun/vip/nxog.php?c=黑龙江卫视&key=2d1
东方卫视,https://by.nxog.fun/vip/nxog.php?c=东方卫视&key=2d1
江苏卫视,https://by.nxog.fun/vip/nxog.php?c=江苏卫视&key=2d1
浙江卫视,https://by.nxog.fun/vip/nxog.php?c=浙江卫视&key=2d1
安徽卫视,https://by.nxog.fun/vip/nxog.php?c=安徽卫视&key=2d1
东南卫视,https://by.nxog.fun/vip/nxog.php?c=东南卫视&key=2d1
江西卫视,https://by.nxog.fun/vip/nxog.php?c=江西卫视&key=2d1
山东卫视,https://by.nxog.fun/vip/nxog.php?c=山东卫视&key=2d1
河南卫视,https://by.nxog.fun/vip/nxog.php?c=河南卫视&key=2d1
湖南卫视,https://by.nxog.fun/vip/nxog.php?c=湖南卫视&key=2d1
